"Name","Category","ExistsNow","Moved","Source","Destination","Reason"
"5.4_私教购买增强模型测试集预测.csv","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.4_私教购买增强模型测试集预测.csv","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\5.4_私教购买增强模型测试集预测.csv","增强模型逐行预测明细，论文只需要汇总指标、TopK、特征重要性和图表"
"5.6_观察窗口敏感性分析.csv","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.6_观察窗口敏感性分析.csv","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\5.6_观察窗口敏感性分析.csv","早期观察窗口口径，已由多延期窗口灵敏度替代"
"5.6_观察窗口敏感性分析.md","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.6_观察窗口敏感性分析.md","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\5.6_观察窗口敏感性分析.md","早期观察窗口口径，已由多延期窗口灵敏度替代"
"5.6_长期效应观察方案.csv","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.6_长期效应观察方案.csv","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\5.6_长期效应观察方案.csv","早期长期效应口径，已由多延期窗口方案汇总替代"
"5.6_长期效应观察方案.md","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.6_长期效应观察方案.md","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\5.6_长期效应观察方案.md","早期长期效应口径，已由多延期窗口方案汇总替代"
"compare_pt_purchase_models_30d.py","旧模型不适用","False","False","D:\yangky\数学建模\校内赛\模型输出结果\compare_pt_purchase_models_30d.py","D:\yangky\数学建模\校内赛\模型输出结果\归档_旧模型不适用\compare_pt_purchase_models_30d.py","旧版私教模型脚本，最新论文口径使用增强私教模型脚本"
"serf_renewal_h60_model.joblib","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\serf_renewal_h60_model.joblib","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\serf_renewal_h60_model.joblib","H60模型工件不参与策略模拟，保留H60指标和稳健性图即可"
"serf_renewal_h60_features.json","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\serf_renewal_h60_features.json","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\serf_renewal_h60_features.json","H60模型工件不参与策略模拟，保留H60指标和稳健性图即可"
"sensitivity_kappa_multi_delay_windows_rerun.err.log","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\sensitivity_kappa_multi_delay_windows_rerun.err.log","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\sensitivity_kappa_multi_delay_windows_rerun.err.log","运行日志，不作为论文结果"
"sensitivity_kappa_multi_delay_windows_rerun.out.log","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\sensitivity_kappa_multi_delay_windows_rerun.out.log","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\sensitivity_kappa_multi_delay_windows_rerun.out.log","运行日志，不作为论文结果"
